Biblioteca,Ciutat,Manuscrits,lat,lng
Herzog August Bibliothek,Wolfenbüttel,"3076, 3107, 3144, 3284, 3641, 3721, 4077, 4180, 83.17 Aug. 2º",52.16332305,10.531580998198123
Historisches Archiv der Stadt Köln,Colònia,"GB fol. 74, GB fol. 144, W 329",50.9245629,6.9376912
Huntington Library,San Marino (Califòrnia),s. n.,34.12815585,-118.11219166210586
Jewish Theological Seminary,New York,2312,40.811897450000004,-73.9602617093071
John Rylands Library,Manchester,"65, S. n. [1], S. n. [2]",53.4803847,-2.2491549712918157
Kantonsbibliothek (Vadiana),Sankt Gallen,"388, 391, 393",47.42916,9.3820684
Kongelige Bibliotek,Copenhaguen,"1713 4t, 236 Fol., 3478 8º, 3498 8au, 640 8º, 2887 4º, 638, 8º, 105, 4º",55.6735641,12.582893062017131
Koninklijke Bibliotheek,l'Haia,"M16, M85, M98, M160, M218, M319, M405, 73 F 5-10",52.0818814,4.3268877
Ksiaznica Cieszynska,Cieszyn,SZ DD VII 33,49.7503641,18.6295184
Landesbibliothek,Kassel,"Folio 13, Quarto 34",51.310097,9.490626541561499
Landesmuseum Ferdinandeum,Innsbruck,1128,47.2673189,11.397732784323704
Lehigh University,Bethlehem (USA),1,40.6068028,-75.3782488
Maurits Sabbebibliotheek,Lovaina,PM 0018/V,50.87615005,4.702433131643755
Medical Library,Boston,18,42.301215,-71.1282428
Merton College,Oxford,"89, 94",51.751066800000004,-1.2509502129741543
Monastero di Camaldoli,Camaldoli,74,43.7934106,11.820609376960729
Museu Episcopal,Vic,"35, 267",41.928699949999995,2.2559676210765303
National Library of Scotland,Edimburg,"Acc. 9253, 31.1.09",55.94862245,-3.191708290197188
Országos Széchényi Könyvtár,Budapest,"201, 202",47.4953335,19.0395462
Pfälzische Landesbibliothek,Speyer,595,49.3153732,8.4152037
Queen's College,Oxford,161,51.7532557,-1.2512927409155425
Real Academia de la Historia,Madrid,"N-7 (sign. antiga), 9-2163, 9-2167, 9-4024, 9-5745, 9-7117, VI, 1922/36",40.4134251,-3.6987900606572115
Salamanca,Palma,[Fons general. Codi: 144],39.5810594,2.6706505
San Candido,Roma,[Fons general. Codi: 12],41.725969,12.3601207
Santander,Palma,[Fons general. Codi: 147],6.1708039,-73.1382668
Seminario Conciliar,Las Palmas,I,28.0999179,-15.4144553
St. John's College,Oxford,102,51.7572533,-1.2577727096888176
St. Nikolaus Hospital,Bernkastel-Kues,"37, 81, 82, 83, 84, 85, 86, 87, 88, 118",49.9159889,7.071521019914263
Staats- und Stadtbibliothek,Augsburg,"Fol. Cod. 501, 4º Cod. 63, 2º Cod. 194, 8º Cod. 127",48.386889499999995,10.907072764821896
Staatsbibliothek,Berlín,"63, 187, 192, 1911, 312",52.5182229,13.391516595586609
Stadtbibliothek,Magúncia,"I 13, I 109, I 175, I 239, I 301, II 88, II 234, II 236, II 238, II 239, II 438",50.00848055,8.269294765148286
Stadtbibliothek,Trèveris,"611/1548, 1895/1428, 1925/1482",49.7513043,6.6408707
Sächsische Landesbibliothek,Dresden,"N 101, N 177, Oc61",51.028217350000006,13.736598915793287
Trinity College,Cambridge (GB),"O.8.5 o 1380, O.3.27 o 1199, O.3.39 o 1211, O.4.39 o 1269, O.8.14 o 1389, O.8.28 o 1403, O.8.32 o 1407, R.I.66",52.20689035,0.11511257525718013
University Library,Cambridge (GB),2391,52.2028119,0.1089499
Universitäts- und Forschungsbibliothek Erfurt/Gotha,Gotha,"1501, 1502, 1017",50.9460511,10.7048551
Universitäts- und Landesbibliothek,Düsseldorf,B 121,51.1884273,6.7948539
Universitäts- und Landesbibliothek,Münster,201,51.962833950000004,7.620874533167392
Universitäts- und Landesbibliothek Sachsen-Anhalt,Halle,"Stolb.-Wernig. Za 3, Yc 8º 7, Yc 8º 9",51.489562750000005,11.970422554112464
Universitätsbibliothek,Basilea,"F IX 15, O II 10",47.5581618,7.585367
Universitätsbibliothek,Erfurt,CA. 4° 116,50.9885307,11.0076438
Universitätsbibliothek,Freiburg i. B.,1450,47.994185849999994,7.844933146080173
Universitätsbibliothek,Graz,42,47.07310005,15.448417207431646
Universitätsbibliothek,Göttingen,33,51.5394917,9.935947053127183
Universitätsbibliothek,Leipzig,"1361, 1362",51.3324928,12.368258655173012
Universitätsbibliothek,Munic,296,48.1488833,11.5677668
Universitätsbibliothek,Salzburg,M I 467,47.7990643,13.0414228
Universitätsbibliothek Erlangen-Nürnberg,Erlangen,"871, 1158",49.59668005,11.006476741375543
Württembergische Landesbibliothek,Stuttgart,"4º 31, HB XI 48",48.7772447,9.185468871231171
Zentral- und Hochschulbibliothek,Lucerna,13.4º,47.04828295,8.307117842572445
Zentralbibliothek,Zuric,C 53,47.3741639,8.545015528012051
Österreichische Nationalbibliothek,Viena,"2474, 2529, 2530, 4480, 5168, 5169, 5230, 5485, 5487, 5509, 5510, 5511, 5520, 11282, 11327, 11342, 11378, 11379, 12834, 12837, 12834",48.205375950000004,16.365281764422452
