Biblioteca,Ciutat,Manuscrits
Bibliothèque Municipale,Lió,258 - 662
Bibliothèque Municipale,Marsella,1095
Bibliothèque Municipale,Nantes,523
Bibliothèque Municipale,Orléans,291 - 1031
Bibliothèque Municipale,Troyes,1462 - 1539
Bibliothèque Municipale et Interuniversitaire,Clermont-Ferrand,96
Bibliothèque Nationale,París,"41 - 204 - 208 - 234 - 289 - 478, 189 - 763 - 1130 - 1971 - 1972 - 1973 - 2019 - 2573 - 12555 - 14798 - 14801 - 19069 - 19071 - 19074 - 19809 - 19810 - 19960 - 19965 - 19974 - 19980 - 22933 - 24402 - 25320, 6182 - 6504, 314 - 1464 - 3171 - 3174 - 3323 - 3342 - 7150 - 7156 - 7161 - 7162 - 7163 - 7164 - 7165 - 7166 - 7167 - 7177 - 10204 - 11185 - 11202 - 12969 - 12972 - 12973 - 12974 - 13961 - 13962 - 14007 - 14008 - 14068 - 14586 - 14664 - 14713 - 15095 - 15096 - 15097 - 15098 - 15099 - 15100 - 15145 - 15385 - 15450 - 16111 - 16112 - 16113 - 16114 - 16115 - 16116 - 16117 - 16118 - 16119 - 16120 - 16614 - 16615 - 17819 - 17820 - 17821 - 17822 - 17823 - 17824 - 17825 - 17826 - 17827 - 17828 - 17829 - 19960 - 3348A - 3446A - 6443C - 6443D - 7267A - 8773A, 617 - 634 - 1293 - 1505"
Bibliothèque Publique,Tolosa,220 - 830
Bibliothèque Publique et Universitaire,Ginebra,82
Bibliothèque Royale,Brussel·les,[I] 10493-10497 - IV 00583 - 1188 - 2954 - 2955 - 2956 - 3751
Bibliothèque de Sainte-Geneviève,París,2230 - 2240 - 2263 - 3112 - 3438
Bibliothèque de l'Arsenal,París,516 - 725 - 809 - 829 - 2675 - 2915 - 3019 - 3024 - 3240
Bibliothèque de l'Université,Lieja,354
Bibliothèque de l'École de Médecine,Montpeller,H 165 - H 300 - H 469 - H 474 - H 479 - H 482 - H 493
Bibliothèque de la Ville,Bourges,82 - 298
Bibliothèque de la Ville,Colmar,1
Bibliothèque de la Ville,Reims,500 - 881
Bibliothèque du château de Chantilly,París,332
Bischöfliche Bibliothek,Klagenfurt,XXIX d 24 - XXX c 14 - XXX d 3
Bodleian Library,Oxford,"B 25, 273 - 1437 - 1441 - 1444 - 1450 - 1451 - 1471 - 1479 - 1480 - 1483 - 1484 - 1490 - 1494 - 1507 - 1508, 465 - 645 - 879, 26 - 147, 26 - 35 - 123 - 141 - 195 - 298 - 299 - 312 - 332 - 365, 195, 85 - 162 - 164 - 192, 162, 219, 46, 40, 22"
British Library,Londres,"9351 - 10764 - 14040 - 16428 - 16429 - 16430 - 16431 - 16432 - 16434 - 22768 - 41486, 3369 - 3770 - 5399 - 6149, 14.E.II - 8.F.VIII, 75 - 419 - 976 - 1091 - 1118 - 1255 - 2006 - 2008 - 2128 - 2385 - 2416 - 3457, 251, 635.l.11"
Burgerbibliothek,Berna,A 78 - B 37 - B 38 - B 44 - 244 - 762
Centre d'Études Orientales Chrétiennes des Franciscains,El Caire,Mouski Syr 13
Christ Church,Canterbury,50 (B-8)
City Archives,Bristol,04792
Civica Biblioteca Angelo Mai,Bèrgam,MA 011 - MA 263 - MA 365
College of Arms,Londres,M19
Collegio di Sant'Isidoro,Roma,solt - 1/1 - 1/18 - 1/20 - 1/22 - 1/38 - 1/43 - 1/46 - 1/71 - 1/95 - 1/103 - 1/107 - 1/108 - 1/109 - 1/110 - 1/114 - 1/115 - 2/104
Columbia University,New York,187 - 282
Col·leccions privades,Barcelona,"s. s., Ms. T, s. n."
Col·lecció privada,Valldemossa,s. n.
Corpus Christi College,Cambridge (GB),99 - 112 - 395 - 396
Corpus Christi College,Oxford,136 - 185 - 238 - 244 - 247
Couvent des Cordeliers (Franziskanerkloster),Fribourg,60
Dartmouth College Library,Hanover (USA),Val. 189 M 319
Fitzwilliam Museum,Cambridge (GB),366
Fondation Martin Bodmer,Cologny-Ginebra,109
Herzog August Bibliothek,Wolfenbüttel,3076 - 3107 - 3144 - 3284 - 3641 - 3721 - 4077 - 4180 - 83.17 Aug. 2º
Hessische Landesbibliothek,Darmstadt,4225
Historisches Archiv der Stadt Köln,Colònia,GB fol. 74 - GB fol. 144 - W 329
Holy Name College Library,Washington (DC),39
Houghton Library - Harvard University,Cambridge (USA),"11 - 12, Typ. 130, 524 - 525 - 526 - 527 - 528 - 541 - 559"
Huntington Library,San Marino (Califòrnia),s. n.
Jewish Theological Seminary,New York,2312
John Rylands Library,Manchester,"65, S. n. [1] - S. n. [2]"
Kantonsbibliothek (Vadiana),Sankt Gallen,388 - 391 - 393
Kongelige Bibliotek,Copenhaguen,"1713 4t - 236 Fol. - 3478 8º - 3498 8au, 640 8º - 2887 4º - 638, 8º, 105, 4º"
Koninklijke Bibliotheek,l'Haia,"M16 - M85 - M98 - M160 - M218 - M319 - M405, 73 F 5-10"
Ksiaznica Cieszynska,Cieszyn,SZ DD VII 33
Landesbibliothek,Kassel,Folio 13 - Quarto 34
Landesmuseum Ferdinandeum,Innsbruck,1128
Lehigh University,Bethlehem (USA),1
