,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
37,Palma,Biblioteca Bartolomé March,Biblioteca del Convent de Sant Francesc,(Mss. en depòsit a la Biblioteca Bartolomé March),llig. 2 - llig. 5 - 5 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 17 - 3/25
38,Palma,(Mss. que han quedat a Sant Francesc),Biblioteca del Convent de Sant Francesc,1 - 4 - 6 - 16,
39,Palma,Biblioteca Diocesana de Mallorca,Col·legi de la Sapiència,E-131 - E-132 - E-134 - E-159 - F-28 - F-71 - F-79 - F-129 - F-130 - F-136 - F-137 - F-138 - F-143 - F-196 - F-201 - F-205 - F-206 - F-207 - F-208 - F-209 - F-210 - F-212 - F-213 - F-219 - F-221 - F-138 (b) - Llig. 1 - Llig. 2 - Llig. 6 - Llig. 7 - Pérez Sap. 33?,
40,Palma,Biblioteca Diocesana de Mallorca,SL,s. n. - 3,
41,Palma,Biblioteca Ferran Capdebou,[Fons general. Codi: 299],S.18,
42,Palma,Biblioteca Pública,[Fons general. Codi: 116],Inc. 463 - Perdut.1 - Perdut.2 - 40 - 76 - 105 - 111 - 182 - 185 - 226 - 315 - 484 - 511 - 526 - 562 - 575 - 581 - 591 - 622 - 623 - 669 - 670 - 680 - 682 - 688 - 693 - 712 - 741 - 759 - 760 - 763 - 765 - 770 - 771 - 787 - 805 - 809 - 823 - 832 - 841 - 875 - 892 - 894 - 991 - 992 - 993 - 994 - 995 - 996 - 997 - 998 - 999 - 1000 - 1001 - 1002 - 1003 - 1004 - 1005 - 1006 - 1007 - 1008 - 1009 - 1010 - 1011 - 1012 - 1013 - 1014 - 1015 - 1016 - 1017 - 1018 - 1019 - 1020 - 1021 - 1022 - 1023 - 1024 - 1025 - 1026 - 1027 - 1028 - 1029 - 1030 - 1031 - 1032 - 1033 - 1034 - 1035 - 1036 - 1037 - 1038 - 1039 - 1040 - 1041 - 1042 - 1043 - 1044 - 1045 - 1046 - 1047 - 1048 - 1049 - 1050 - 1051 - 1052 - 1053 - 1054 - 1055 - 1061 - 1062 - 1063 - 1064 - 1065 - 1066 - 1067 - 1068 - 1069 - 1070 - 1071 - 1072 - 1074 - 1075 - 1076 - 1079 - 1080 - 1081 - 1082 - 1083 - 1084 - 1085 - 1086 - 1087 - 1088 - 1089 - 1090 - 1091 - 1092 - 1093 - 1094 - 1095 - 1097 - 1098 - 1099 - 1100 - 1103 - 1104 - 1122 - 1124 - 1129 - 1135 - 1138 - 1139 - 1143 - 1144 - 1152 - 1155 - 1161 - 1165 - 1171 - 1173 - 1176 - 1184 - 62-64 - 592-605 - 766-769 - 1056-1060 - 1077-1078,
43,Palma,Biblioteca Vivot,[Fons general. Codi: 123],2 - 4 - 5,
44,Palma,Societat Arqueològica Lul·liana,(fons general de la SAL),lligall s. s. - s. s. - s. s. (Misc. Rosselló) - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10,
45,Palma,Societat Arqueològica Lul·liana,Aguiló,84 - 110 - 111,
46,Palma,Peralada,Biblioteca-Arxiu del Palau,[Fons general. Codi: 242],"95A-IV, 091 Sacra - 94-IIS, 091 Principis - 95A-IV, 091 Constitutio"
